No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,18.6015,381.319,2.20943,1.67283,381.671,87.5765,0.974879,3.79509,9246.31,140.018,1,1,1,1,1,0
1,2,18.27,381.177,2.08826,1.30948,516.546,78.3633,0.376734,2.36613,8839.54,130.692,1,1,1,1,1,0
1,3,18.8741,381.135,3.49314,1.85633,358.432,45.3238,-0.470333,0.912374,13148.6,128.444,1,1,1,1,1,0
1,4,18.6627,381.34,2.92389,1.6852,370.1,66.3341,-0.117237,0.331687,10350.8,130.018,1,1,1,1,1,0
1,5,18.5989,381.272,2.38647,1.51058,391.772,79.6036,1.18176,-0.0948179,8597.12,133.467,1,1,1,1,1,0
1,6,19.0643,381.463,2.70403,1.64427,336.92,58.515,-2.48341,-3.88222,9168.05,114.568,1,1,1,1,2,0
1,7,18.3372,381.514,2.21464,1.58115,349.068,82.2407,1.72683,-3.51528,7494.34,125.012,1,1,1,1,1,0
1,8,18.6937,381.478,2.32467,1.84563,377.029,61.9916,1.51262,-3.10159,9737.11,119.598,1,1,1,1,1,0
1,9,18.395,381.572,2.37109,1.39084,343.63,77.4243,3.55257,0.722517,7035.42,116.669,1,1,1,1,1,0
1,10,17.7618,381.466,2.00002,1.53156,352.361,77.0203,4.24362,-1.97673,6482.99,115.296,1,1,1,1,1,0
1,11,18.0494,381.062,2.94966,2.13102,289.395,65.7461,8.5579,0.39515,10913.9,127.189,1,1,1,1,1,0
1,12,18.1377,380.938,2.66167,1.84677,331.671,70.021,8.75688,0.49323,9993.2,129.154,1,1,1,1,1,0
1,13,18.4741,381.271,2.61037,1.67424,382.943,71.5297,4.10174,-1.69283,10271.6,130.976,1,1,1,1,1,0
1,14,18.9009,381.26,2.7352,1.67665,405.172,52.2773,1.25255,-0.876357,11193.4,119.225,1,1,1,1,1,0
1,15,18.8768,381.331,2.75444,1.89775,355.302,48.2084,-0.862596,-1.81773,11316.6,116.621,1,1,1,1,1,0
1,16,19.284,381.319,3.12902,2.07572,383.883,43.087,-4.36527,-2.29262,14761.6,134.053,1,1,1,1,1,0
1,17,19.0795,380.894,2.51484,1.97899,401.396,64.114,-0.740249,-1.6321,12318.9,133.817,1,1,1,1,1,0
1,18,18.6554,381.066,2.32291,1.85393,345.076,81.9065,0.820571,-3.13537,9099.95,135.941,1,1,2,3,4,0
1,19,19.9976,381.05,3.24117,1.97754,251.675,55.1606,1.12873,-3.16692,9475.85,110.343,,,,,,0
2,1,32.9019,78.732,1.92584,2.8051,903.629,144.234,0.519328,-4.55293,31921.6,334.473,1,1,1,1,1,0
2,2,32.7225,78.6426,1.92901,3.01041,842.469,155.309,1.89602,-0.928672,32501.5,347.172,1,1,1,1,1,0
2,3,32.9084,78.9069,1.72578,2.63011,699.056,173.471,-3.3477,7.40735,19495,284.089,1,1,2,3,4,0
2,4,33.286,80.2523,1.87314,2.40498,968.674,161.079,-4.90051,-3.69045,26962.2,320.21,1,1,2,3,4,0
2,5,33.6635,81.5978,2.0205,2.17986,1238.29,148.686,-6.45332,-14.7883,34429.3,356.331,1,1,1,1,1,0
2,6,33.4405,81.3469,2.09797,2.50517,1271.92,137.462,-6.16477,-20.5271,41097.2,386.846,1,1,1,1,1,0
2,7,33.3228,80.8638,2.21108,2.69658,1119.71,121.93,-5.57085,-17.3071,40604.4,372.935,1,1,1,1,1,0
2,8,32.8593,80.5594,2.28022,2.7713,1063.39,113.533,-1.89283,-14.0618,41104.7,363.941,1,1,1,1,1,0
2,9,33.2164,80.5674,2.06783,3.01516,836.801,107.615,-2.27751,-5.54471,31204.8,295.13,1,1,1,1,1,0
2,10,33.3277,80.5,1.94005,2.76962,869.215,133.746,-2.01157,-4.77055,28668.1,302.45,1,1,1,1,1,0
2,11,33.0227,80.5362,1.98181,2.69749,1165.84,161.321,-6.92478,-4.98003,39069.7,391.598,1,1,1,1,1,0
2,12,32.8459,80.2347,2.12722,2.51538,1362.12,156.77,2.5863,-4.43654,44531.8,423.331,1,1,1,1,1,0
2,13,32.8706,79.5,2.13411,3.00419,1016.37,133.965,-3.62615,1.87047,38805.3,365.527,1,1,1,1,1,0
2,14,32.9674,79.3816,2.0407,3.06051,986.386,155.968,-4.92115,4.55049,36635.8,378.491,1,1,1,1,1,0
2,15,33.0384,79.5872,1.93925,2.59379,1418.17,184.594,-7.28749,2.03621,43874.2,447.367,1,1,1,1,1,0
