No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,44.0275,113.165,1.94618,2.3219,761.06,124.648,7.22513,-19.1696,21366.6,248.195,1,1,1,1,1,0
1,2,43.9634,113.392,1.78296,1.89836,944.429,155.113,6.82944,-24.4285,20038.1,267.657,1,1,1,1,1,0
1,3,43.8728,113.264,2.04932,2.09005,816.134,146.812,5.81072,-18.2476,21590.8,267.479,1,1,1,1,1,0
1,4,43.582,113.477,1.90521,2.1023,739.666,125.236,15.211,-22.2821,18488.4,243.107,1,1,1,1,1,0
1,5,43.681,113.538,1.82059,2.1317,714.41,116.494,16.6426,-25.0487,18360.6,236.432,1,1,1,1,1,0
1,6,43.8421,113.046,1.81578,2.15076,678.358,144.057,11.8453,-17.0235,16553,236.462,1,1,1,1,1,0
1,7,43.7116,113.162,1.88798,1.85599,856.76,124.736,6.39213,-15.4357,18545.7,232.805,1,1,1,1,1,0
1,8,43.9031,113.372,2.00708,2.07099,902.736,84.4301,1.26296,-10.4969,25193.7,231.698,1,1,1,1,1,0
1,9,43.7833,113.151,1.9677,2.21666,826.237,90.1177,4.78283,-9.48112,23724.3,224.479,1,1,1,1,1,0
1,10,43.8095,113.053,1.88804,2.10524,878.141,108.479,7.80149,-11.4104,21959.2,232.391,1,1,1,1,1,0
1,11,44.0018,113.486,1.74779,2.10424,845.892,124.85,4.69202,-14.1433,19140.2,249.243,1,1,1,1,1,0
1,12,43.7727,113.384,1.67819,2.03249,836.867,123.53,6.55863,-14.4708,17657.7,225.728,1,1,1,1,1,0
1,13,43.6633,113.459,1.72696,1.95905,901.915,123.792,6.92653,-19.7067,19113,237.024,1,1,1,1,1,0
1,14,43.762,113.288,1.9727,2.07134,857.576,123.5,7.65727,-19.8387,21884.5,247.704,1,1,1,1,1,0
1,15,43.5313,113.176,1.91943,1.92887,903.838,121.542,8.49673,-14.3357,20969.9,242.923,1,1,1,1,1,0
1,16,43.72,113.274,1.81178,1.91095,888.97,112.071,9.35898,-17.5827,19288.5,228.527,1,1,1,1,1,0
1,17,43.9993,113.26,1.73631,1.99176,981.558,116.525,5.25215,-14.5944,21264.4,239.763,1,1,1,1,1,0
1,18,43.9689,113.361,1.79363,2.07967,831.1,92.5863,1.13033,-7.742,19331.4,204.846,1,1,1,1,1,0
1,19,43.871,113.116,1.92019,2.34085,730.995,95.5812,0.404273,-8.45591,20407.6,215.515,1,1,1,1,1,0
1,20,44.044,113.272,2.08203,2.19622,864.699,97.0753,-2.85931,-5.67239,24618.6,241.633,1,1,1,1,1,0
