No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,34.7425,130.137,2.08201,2.1183,390.621,84.0577,2.24461,-0.800931,10735.7,148.124,1,1,2,3,4,0
1,2,34.9456,130.57,1.96869,2.34754,243.295,81.8773,2.67662,-4.79952,6970.61,119.237,1,1,2,3,4,0
1,3,35.4845,130.236,2.27593,2.39181,237.979,67.3211,1.26154,-1.34154,7936.38,113.225,1,1,2,3,4,0
1,4,36.0234,129.901,2.58317,2.43609,232.663,52.7649,-0.153531,2.11644,8902.16,107.213,1,2,2,3,4,0
1,5,36.517,130.535,2.3385,2.46147,287.059,54.9438,-1.63227,-1.0983,10224.2,118.751,1,2,2,3,4,0
1,6,36.8074,131.213,2.22787,2.06987,405.346,76.4822,1.31785,-4.5093,11622.6,147.03,1,2,3,3,4,0
1,7,37.6312,132.165,2.03655,2.39665,530.263,96.2405,-3.58254,-4.68306,15381.3,188.734,1,2,3,4,5,0
1,8,37.8613,132.799,2.46376,2.79394,475.83,90.1402,-2.88638,0.483792,19755.5,212.568,1,2,3,4,5,0
1,9,36.7367,130.737,2.71873,2.54368,372.58,63.4896,7.3172,1.60434,16111.3,160.852,1,2,2,3,4,0
1,10,36.2956,130.31,2.5083,2.10061,349.555,119.063,11.1304,1.05412,11328.7,180.32,1,2,2,3,4,0
1,11,35.8294,130.783,2.02653,2.52164,299.405,117.295,8.58022,-2.11896,9424.9,174.172,1,2,2,3,4,0
1,12,35.3122,131.739,1.85279,2.15829,314.499,104.972,9.50419,0.567255,7849.99,149.947,1,2,2,3,4,0
1,13,34.9496,131.173,1.4255,2.08859,283.128,93.7229,6.2765,-0.454974,5275.98,120.183,1,2,2,3,4,0
1,14,34.7302,131.589,1.33579,1.97238,313.687,77.6273,1.3861,-3.31788,5179.37,107.686,1,2,3,3,4,0
1,15,33.8398,131.603,1.96856,1.8341,323.763,84.1124,5.02701,-3.49327,7320.33,127.97,1,2,3,4,5,0
1,16,35.1589,130.462,2.33184,1.88954,223.684,125.072,8.09976,4.04038,6121.75,154.379,1,2,3,4,5,0
1,17,36.5028,131.356,3.3543,2.82241,236.019,39.0336,4.19337,-1.18603,12986.2,119.716,1,2,3,4,5,0
1,18,35.7345,131.961,2.73093,2.04167,241.362,67.9938,6.01967,-2.66978,8195.85,117.006,1,2,3,4,5,0
1,19,36.5785,132.314,3.1224,2.26023,290.637,82.011,-0.959441,-4.7943,12002,152.899,,,,,,0
2,1,64.172,118.024,2.66098,2.63631,406.093,102.699,-4.30103,-3.26178,17091.6,200.675,1,2,3,4,5,0
